,Dewhigh,Dewlow,Dewmid,Humidhigh,Humidlow,Humidmid,Phigh,Plow,Pmid,Rain,Thigh,Tlow,Tmid,Vishigh,Vislow,Vismid,Windhigh,Windlow,Windmid,day
66,-7.0,-10.0,-9.0,74.0,48.0,61.0,1025.0,1020.0,1022.0,0.0,2.0,-6.0,-2.0,10.0,10.0,10.0,37.0,,23.0,10.0
67,-7.0,-12.0,-9.0,86.0,41.0,59.0,1021.0,1019.0,1020.0,0.0,2.0,-5.0,-2.0,10.0,9.0,10.0,48.0,60.0,26.0,11.0
68,-10.0,-13.0,-11.0,59.0,30.0,44.0,1019.0,1014.0,1016.0,0.0,4.0,-3.0,0.0,10.0,10.0,10.0,42.0,53.0,34.0,12.0
69,-2.0,-9.0,-3.0,100.0,48.0,85.0,1017.0,1014.0,1015.0,0.0,1.0,-5.0,-2.0,10.0,0.0,3.0,24.0,,16.0,13.0
70,-1.0,-11.0,-4.0,100.0,65.0,89.0,1022.0,1017.0,1020.0,0.0,4.0,-10.0,-3.0,6.0,0.0,2.0,13.0,,5.0,14.0
71,1.0,-2.0,-1.0,93.0,61.0,78.0,1027.0,1022.0,1025.0,0.0,7.0,0.0,3.0,10.0,3.0,7.0,16.0,,6.0,15.0
72,1.0,0.0,1.0,87.0,66.0,75.0,1027.0,1025.0,1026.0,0.0,6.0,3.0,4.0,10.0,6.0,9.0,23.0,,11.0,16.0
73,4.0,1.0,2.0,100.0,54.0,81.0,1027.0,1024.0,1025.0,0.0,10.0,3.0,7.0,10.0,4.0,8.0,19.0,,10.0,17.0
74,4.0,-1.0,2.0,87.0,47.0,73.0,1029.0,1023.0,1026.0,0.0,12.0,1.0,7.0,10.0,10.0,10.0,21.0,,11.0,18.0
75,4.0,-2.0,1.0,100.0,41.0,75.0,1029.0,1025.0,1027.0,0.0,14.0,-2.0,6.0,10.0,5.0,8.0,14.0,,6.0,19.0
76,3.0,-4.0,0.0,81.0,22.0,54.0,1026.0,1020.0,1024.0,0.0,18.0,3.0,10.0,10.0,10.0,10.0,16.0,,8.0,20.0
77,5.0,0.0,4.0,71.0,35.0,51.0,1023.0,1016.0,1020.0,0.0,20.0,9.0,14.0,10.0,10.0,10.0,19.0,,11.0,21.0
78,11.0,4.0,8.0,82.0,56.0,66.0,1016.0,1014.0,1015.0,0.0,18.0,11.0,14.0,10.0,10.0,10.0,27.0,47.0,14.0,22.0
79,11.0,4.0,8.0,94.0,48.0,72.0,1023.0,1012.0,1017.0,0.0,17.0,10.0,13.0,10.0,10.0,10.0,32.0,,19.0,23.0
80,7.0,3.0,5.0,93.0,45.0,71.0,1023.0,1020.0,1022.0,0.0,16.0,5.0,10.0,10.0,10.0,10.0,11.0,,5.0,24.0
81,5.0,0.0,2.0,100.0,32.0,67.0,1022.0,1016.0,1019.0,0.0,18.0,1.0,9.0,10.0,1.0,9.0,11.0,,5.0,25.0
82,7.0,0.0,4.0,100.0,33.0,65.0,1016.0,1010.0,1013.0,0.0,21.0,1.0,11.0,10.0,7.0,9.0,13.0,,5.0,26.0
83,8.0,4.0,6.0,93.0,33.0,64.0,1010.0,1007.0,1008.0,0.0,22.0,6.0,13.0,10.0,10.0,10.0,10.0,,5.0,27.0
84,9.0,4.0,7.0,93.0,59.0,78.0,1012.0,1004.0,1009.0,0.0,16.0,8.0,12.0,10.0,4.0,10.0,27.0,42.0,13.0,28.0
85,7.0,4.0,6.0,93.0,62.0,80.0,1013.0,1007.0,1010.0,0.0,13.0,5.0,9.0,10.0,10.0,10.0,29.0,,18.0,29.0
86,9.0,4.0,7.0,94.0,67.0,83.0,1015.0,1012.0,1013.0,0.0,12.0,7.0,9.0,10.0,10.0,10.0,24.0,,14.0,30.0
87,10.0,8.0,9.0,94.0,55.0,78.0,1012.0,1002.0,1007.0,0.0,17.0,10.0,13.0,10.0,10.0,10.0,16.0,,11.0,31.0
88,10.0,4.0,7.0,100.0,45.0,82.0,1002.0,995.0,998.0,0.0,17.0,5.0,11.0,10.0,0.0,8.0,37.0,,6.0,32.0
89,6.0,1.0,3.0,81.0,44.0,62.0,1006.0,1004.0,1004.0,0.0,13.0,6.0,9.0,10.0,10.0,10.0,37.0,,19.0,33.0
90,3.0,-4.0,1.0,93.0,37.0,67.0,1018.0,1007.0,1013.0,0.0,11.0,4.0,7.0,10.0,10.0,10.0,26.0,48.0,14.0,4.0
91,3.0,-1.0,1.0,100.0,38.0,74.0,1018.0,1012.0,1016.0,0.0,13.0,0.0,7.0,10.0,10.0,10.0,16.0,,8.0,5.0
92,8.0,5.0,6.0,93.0,67.0,83.0,1013.0,1009.0,1011.0,0.0,12.0,7.0,9.0,10.0,6.0,10.0,24.0,,14.0,6.0
93,6.0,2.0,4.0,93.0,54.0,75.0,1020.0,1010.0,1013.0,0.0,13.0,6.0,9.0,10.0,10.0,10.0,35.0,53.0,19.0,7.0
94,3.0,-3.0,0.0,93.0,38.0,58.0,1029.0,1025.0,1028.0,0.0,13.0,3.0,8.0,10.0,10.0,10.0,13.0,,6.0,8.0
95,5.0,-1.0,2.0,93.0,32.0,66.0,1028.0,1017.0,1023.0,0.0,19.0,0.0,9.0,10.0,10.0,10.0,10.0,,3.0,9.0
96,7.0,1.0,4.0,100.0,27.0,63.0,1019.0,1016.0,1017.0,0.0,22.0,2.0,12.0,10.0,10.0,10.0,14.0,,5.0,10.0
97,9.0,6.0,8.0,87.0,55.0,71.0,1027.0,1019.0,1023.0,0.0,17.0,8.0,12.0,10.0,10.0,10.0,23.0,,10.0,11.0
98,8.0,1.0,5.0,93.0,36.0,66.0,1031.0,1028.0,1029.0,0.0,17.0,8.0,12.0,10.0,3.0,8.0,24.0,,13.0,12.0
99,6.0,0.0,3.0,87.0,41.0,61.0,1030.0,1024.0,1027.0,0.0,16.0,4.0,10.0,10.0,10.0,10.0,21.0,,10.0,13.0
100,4.0,-1.0,1.0,81.0,50.0,66.0,1024.0,1018.0,1021.0,0.0,10.0,3.0,7.0,10.0,10.0,10.0,34.0,,19.0,14.0
101,3.0,0.0,2.0,81.0,54.0,69.0,1019.0,1015.0,1016.0,0.0,11.0,4.0,7.0,10.0,9.0,10.0,32.0,,21.0,15.0
102,6.0,2.0,3.0,93.0,51.0,78.0,1015.0,1014.0,1015.0,0.0,13.0,3.0,8.0,10.0,4.0,8.0,19.0,,13.0,16.0
103,7.0,-1.0,4.0,100.0,38.0,74.0,1015.0,1013.0,1014.0,0.0,14.0,4.0,9.0,10.0,5.0,9.0,19.0,,8.0,17.0
104,6.0,1.0,3.0,93.0,41.0,69.0,1017.0,1014.0,1015.0,0.0,14.0,5.0,9.0,10.0,6.0,9.0,23.0,,10.0,18.0
105,6.0,2.0,4.0,93.0,42.0,64.0,1021.0,1017.0,1018.0,0.0,16.0,5.0,10.0,10.0,5.0,9.0,26.0,,14.0,19.0
106,4.0,0.0,2.0,81.0,32.0,54.0,1021.0,1015.0,1019.0,0.0,18.0,3.0,10.0,10.0,10.0,10.0,24.0,,16.0,20.0
107,3.0,-3.0,1.0,81.0,20.0,50.0,1016.0,1011.0,1013.0,0.0,21.0,4.0,12.0,10.0,10.0,10.0,13.0,,8.0,21.0
108,6.0,0.0,2.0,87.0,25.0,53.0,1014.0,1012.0,1013.0,0.0,22.0,4.0,13.0,10.0,10.0,10.0,19.0,,5.0,22.0
109,6.0,0.0,3.0,81.0,28.0,55.0,1017.0,1014.0,1015.0,0.0,20.0,4.0,12.0,10.0,8.0,10.0,34.0,,8.0,23.0
110,2.0,-4.0,-1.0,81.0,24.0,49.0,1018.0,1015.0,1017.0,0.0,17.0,3.0,10.0,10.0,9.0,10.0,26.0,,13.0,24.0
111,1.0,-5.0,-1.0,75.0,30.0,47.0,1018.0,1011.0,1015.0,0.0,17.0,3.0,10.0,10.0,10.0,10.0,21.0,,11.0,25.0
112,-1.0,-5.0,-3.0,61.0,19.0,38.0,1014.0,1011.0,1012.0,0.0,20.0,3.0,11.0,10.0,10.0,10.0,23.0,,13.0,26.0
113,1.0,-4.0,-2.0,75.0,17.0,40.0,1019.0,1015.0,1017.0,0.0,24.0,3.0,13.0,10.0,10.0,10.0,19.0,,8.0,27.0
114,6.0,1.0,3.0,81.0,21.0,47.0,1022.0,1019.0,1021.0,0.0,25.0,5.0,15.0,10.0,10.0,10.0,13.0,,5.0,28.0
115,13.0,4.0,8.0,100.0,37.0,62.0,1026.0,1021.0,1024.0,0.0,21.0,12.0,16.0,10.0,5.0,10.0,32.0,48.0,13.0,29.0
116,9.0,2.0,6.0,87.0,27.0,56.0,1027.0,1025.0,1026.0,0.0,22.0,8.0,14.0,10.0,10.0,10.0,21.0,,8.0,30.0
117,8.0,2.0,5.0,81.0,22.0,52.0,1027.0,1020.0,1024.0,0.0,25.0,8.0,17.0,10.0,10.0,10.0,13.0,,6.0,31.0
118,9.0,5.0,7.0,87.0,23.0,51.0,1020.0,1010.0,1015.0,0.0,29.0,8.0,18.0,10.0,10.0,10.0,14.0,,6.0,32.0
119,14.0,7.0,11.0,88.0,40.0,67.0,1014.0,1010.0,1013.0,0.0,21.0,13.0,17.0,10.0,10.0,10.0,23.0,,11.0,33.0
120,12.0,10.0,11.0,94.0,63.0,86.0,1013.0,1011.0,1012.0,0.0,17.0,11.0,13.0,10.0,4.0,9.0,21.0,,8.0,5.0
121,11.0,8.0,10.0,100.0,77.0,89.0,1012.0,1009.0,1010.0,0.0,14.0,10.0,12.0,10.0,0.0,7.0,19.0,,6.0,6.0
122,9.0,6.0,8.0,94.0,63.0,80.0,1015.0,1009.0,1011.0,0.0,13.0,9.0,11.0,10.0,7.0,10.0,19.0,,6.0,7.0
123,7.0,4.0,6.0,87.0,63.0,74.0,1015.0,1012.0,1014.0,0.0,14.0,8.0,11.0,10.0,9.0,10.0,35.0,58.0,21.0,8.0
124,6.0,0.0,3.0,82.0,61.0,68.0,1015.0,1005.0,1010.0,0.0,11.0,5.0,8.0,10.0,10.0,10.0,35.0,58.0,29.0,9.0
125,7.0,5.0,6.0,93.0,76.0,89.0,1005.0,1002.0,1003.0,0.0,9.0,7.0,8.0,10.0,2.0,7.0,27.0,,14.0,10.0
126,7.0,5.0,6.0,100.0,62.0,83.0,1009.0,1005.0,1007.0,0.0,12.0,6.0,9.0,10.0,5.0,9.0,11.0,,6.0,11.0
127,8.0,4.0,7.0,93.0,42.0,77.0,1009.0,1008.0,1009.0,0.0,17.0,7.0,12.0,10.0,4.0,8.0,8.0,,5.0,12.0
128,12.0,6.0,9.0,100.0,59.0,85.0,1010.0,1007.0,1008.0,0.0,17.0,9.0,13.0,10.0,3.0,9.0,24.0,55.0,6.0,13.0
129,12.0,9.0,11.0,100.0,68.0,88.0,1007.0,1005.0,1006.0,0.0,16.0,10.0,13.0,10.0,3.0,8.0,13.0,,6.0,14.0
130,13.0,8.0,11.0,100.0,67.0,87.0,1007.0,1002.0,1004.0,0.0,17.0,9.0,13.0,10.0,0.0,7.0,24.0,,8.0,15.0
131,8.0,6.0,7.0,93.0,67.0,77.0,1010.0,1006.0,1008.0,0.0,14.0,8.0,11.0,10.0,10.0,10.0,26.0,,11.0,16.0
132,7.0,6.0,6.0,93.0,76.0,88.0,1012.0,1010.0,1011.0,0.0,10.0,7.0,8.0,10.0,4.0,8.0,16.0,,11.0,17.0
133,7.0,5.0,6.0,93.0,58.0,78.0,1012.0,1010.0,1011.0,0.0,13.0,7.0,10.0,10.0,5.0,9.0,13.0,,8.0,18.0
134,7.0,5.0,6.0,93.0,62.0,79.0,1014.0,1010.0,1011.0,0.0,12.0,7.0,9.0,10.0,9.0,10.0,19.0,,10.0,19.0
135,8.0,4.0,6.0,87.0,45.0,69.0,1020.0,1014.0,1017.0,0.0,16.0,7.0,11.0,10.0,8.0,10.0,19.0,,6.0,20.0
136,8.0,5.0,7.0,93.0,40.0,68.0,1025.0,1020.0,1022.0,0.0,19.0,7.0,13.0,10.0,10.0,10.0,27.0,,6.0,21.0
137,7.0,0.0,4.0,93.0,34.0,62.0,1027.0,1025.0,1026.0,0.0,17.0,6.0,11.0,10.0,10.0,10.0,23.0,47.0,10.0,22.0
138,8.0,3.0,6.0,93.0,51.0,73.0,1028.0,1025.0,1027.0,0.0,14.0,6.0,10.0,10.0,8.0,10.0,23.0,,8.0,23.0
139,10.0,8.0,9.0,100.0,77.0,89.0,1030.0,1027.0,1028.0,0.0,12.0,9.0,10.0,10.0,4.0,8.0,13.0,,5.0,24.0
140,11.0,8.0,9.0,94.0,55.0,76.0,1029.0,1027.0,1028.0,0.0,18.0,10.0,14.0,10.0,7.0,10.0,19.0,,8.0,25.0
141,12.0,6.0,8.0,100.0,34.0,66.0,1027.0,1021.0,1024.0,0.0,24.0,7.0,16.0,10.0,5.0,9.0,14.0,,5.0,26.0
142,12.0,6.0,10.0,88.0,29.0,60.0,1022.0,1019.0,1021.0,0.0,25.0,12.0,18.0,10.0,10.0,10.0,24.0,,11.0,27.0
143,13.0,9.0,11.0,94.0,29.0,59.0,1019.0,1011.0,1015.0,0.0,29.0,10.0,19.0,10.0,10.0,10.0,14.0,,5.0,28.0
144,14.0,7.0,12.0,88.0,26.0,56.0,1012.0,1008.0,1010.0,0.0,29.0,14.0,21.0,10.0,10.0,10.0,27.0,,10.0,29.0
145,16.0,10.0,13.0,94.0,47.0,75.0,1010.0,1006.0,1008.0,0.0,23.0,16.0,19.0,10.0,8.0,10.0,34.0,,11.0,30.0
146,15.0,11.0,13.0,94.0,64.0,83.0,1011.0,1007.0,1009.0,0.0,18.0,14.0,16.0,10.0,6.0,10.0,14.0,,5.0,31.0
147,14.0,10.0,12.0,100.0,56.0,80.0,1018.0,1011.0,1014.0,0.0,21.0,12.0,16.0,10.0,0.0,9.0,32.0,45.0,8.0,32.0
148,12.0,8.0,11.0,94.0,49.0,68.0,1019.0,1015.0,1017.0,0.0,22.0,12.0,17.0,10.0,5.0,9.0,14.0,,5.0,33.0
149,14.0,9.0,11.0,100.0,52.0,76.0,1014.0,1011.0,1012.0,0.0,19.0,13.0,16.0,10.0,4.0,10.0,32.0,53.0,14.0,34.0
150,9.0,6.0,7.0,87.0,59.0,70.0,1018.0,1011.0,1015.0,0.0,15.0,8.0,11.0,10.0,10.0,10.0,34.0,60.0,18.0,35.0
151,11.0,8.0,9.0,88.0,49.0,70.0,1018.0,1014.0,1016.0,0.0,19.0,12.0,16.0,10.0,9.0,10.0,16.0,,10.0,6.0
152,11.0,8.0,9.0,82.0,46.0,65.0,1017.0,1014.0,1016.0,0.0,21.0,12.0,16.0,10.0,10.0,10.0,24.0,32.0,10.0,7.0
153,12.0,8.0,11.0,82.0,49.0,68.0,1019.0,1017.0,1017.0,0.0,20.0,14.0,17.0,10.0,10.0,10.0,19.0,35.0,10.0,8.0
154,13.0,7.0,11.0,94.0,30.0,60.0,1020.0,1018.0,1019.0,0.0,26.0,12.0,19.0,10.0,10.0,10.0,16.0,,8.0,9.0
155,14.0,4.0,11.0,88.0,20.0,56.0,1020.0,1016.0,1019.0,0.0,29.0,11.0,20.0,10.0,10.0,10.0,13.0,,3.0,10.0
156,18.0,11.0,14.0,94.0,40.0,70.0,1016.0,1009.0,1014.0,0.0,29.0,14.0,21.0,10.0,4.0,10.0,35.0,,6.0,11.0
157,17.0,10.0,13.0,94.0,41.0,69.0,1016.0,1011.0,1014.0,0.0,24.0,17.0,20.0,10.0,10.0,10.0,21.0,,11.0,12.0
158,17.0,12.0,14.0,94.0,47.0,74.0,1011.0,1007.0,1008.0,0.0,25.0,13.0,19.0,10.0,10.0,10.0,21.0,,6.0,13.0
159,18.0,14.0,16.0,94.0,40.0,74.0,1008.0,1003.0,1006.0,0.0,29.0,17.0,23.0,10.0,1.0,9.0,39.0,63.0,6.0,14.0
160,21.0,14.0,17.0,94.0,46.0,74.0,1007.0,1002.0,1005.0,0.0,31.0,17.0,23.0,10.0,10.0,10.0,32.0,55.0,10.0,15.0
161,18.0,14.0,16.0,94.0,51.0,74.0,1010.0,1007.0,1009.0,0.0,27.0,18.0,22.0,10.0,7.0,10.0,21.0,,10.0,16.0
162,16.0,12.0,14.0,88.0,53.0,72.0,1014.0,1010.0,1012.0,0.0,24.0,17.0,20.0,10.0,10.0,10.0,21.0,,11.0,17.0
163,13.0,11.0,12.0,82.0,64.0,73.0,1016.0,1013.0,1015.0,0.0,19.0,15.0,17.0,10.0,10.0,10.0,19.0,,14.0,18.0
